Alcohol,Name,image,Category,Making,Base Wine,Base Wine Amount,Liquor,Liquor Amount,Juice,Juice Amount,Spice,Spice Amount,Soda,Soda Amount,Others,Taste,Type of Glass,Salty,Savory,Sour,Bitter,Sweet,Spicy
10,Sex on the Beach,http://www.thecocktaildb.com/images/media/drink/twsvwr1469092365.jpg,Long,Build,Vodka,15,Melon_20/Raspberry_10,30,Pineapple,80,-,-,-,-,-,Mild,Highball,0,0,83,0,50,0
26,Sidecar,http://www.thecocktaildb.com/images/media/drink/stwxuq1439906852.jpg,Short,Shake,Brandy,30,White Curacao,15,Lemon,15,-,-,-,-,-,Mild,Martini Glass,0,0,67,17,83,0
25,Silk Stockings,https://cdn.diffords.com/contrib/stock-images/2016/1/42/2016877977b537d819d95a96f42140277b74.jpg,Short,Shake,Tequila,30,Coco,15,-,-,Sugar,5,-,-,Cream/Cherry,Mild,Martini Glass,17,17,17,17,50,0
17,Singapore Sling,https://www.liquor.com/thmb/_lRWG77lYizITkb7-vBwJd3s0PU=/380x380/filters:max_bytes(150000):strip_icc():format(webp)/singapore-sling-720x720-primary-37a139ea74be4c3590d556a9fcc761cb.jpg,Long,Shake,Gin,45,Sherry,20,Lemon,20,-,-,Soda,200,Lemon Piece/Cherry/Orange Piece,Mild,Highball,0,0,67,17,17,0
32,Stinger,http://www.thecocktaildb.com/images/media/drink/2ahv791504352433.jpg,Short,Shake,Brandy,40,White Mint,20,-,-,-,-,-,-,-,Mild,Martini Glass,0,0,0,0,50,0
35,Tequila Martini,https://www.liquor.com/thmb/ZqTpjxWJRLdi7VXpW61Rm922kwE=/380x380/filters:max_bytes(150000):strip_icc():format(webp)/tequila-martini-720x720-primary-fdd124b8ee5f404f86859ef4be39f757.jpg,Short,Stir,Tequila,48,Dry Vermouth,12,-,-,-,-,-,-,Olive,Strong,Martini Glass,0,0,33,0,17,0
12,Tequila Sunrise,http://www.thecocktaildb.com/images/media/drink/quqyqp1480879103.jpg,Long,Build,Tequila,45,-,-,Orange,90,Sugar,10,-,-,Orange Piece,Mild,Champagne Flute,0,17,83,0,50,0
5,Tequila Sunset,https://imbibemagazine.com/wp-content/uploads/2021/07/anatomy-tequila-sunrise-rev-crdt-john-valls-scaled.jpg,Short,Blend,Tequila,30,-,-,Lemon,30,Sugar,5,-,-,Ice,Mild,Champagne Saucer,0,17,83,17,50,0
16,Tom Collins,http://www.thecocktaildb.com/images/media/drink/qystvv1439907682.jpg,Long,Shake,Gin,45,-,-,Lemon,20,Sugar,8,Soda,200,Lemon Piece,Mild,Highball,17,17,17,83,17,0
14,Vodka & Tonic,http://www.thecocktaildb.com/images/media/drink/lmj2yt1504820500.jpg,Long,Build,Vodka,45,-,-,-,-,-,-,Tonic,200,-,Mild,Old Fashioned,0,17,83,0,33,0
30,Vodka Gimlet,https://www.liquor.com/thmb/2YFyxeQwgoR_oIbu9jUbGfBKBbs=/380x380/filters:max_bytes(150000):strip_icc():format(webp)/__opt__aboutcom__coeus__resources__content_migration__liquor__2019__09__12092910__Vodka-Gimlet-720x720-recipe-e0aad3b18d514bd99faceb8b57f5d446.jpg,Short,Shake,Vodka,45,-,-,Lime,15,Sugar,5,-,-,-,Mild,Cordial Glass,0,0,50,0,17,0
19,Zombie,https://www.liquor.com/thmb/vI9J0imF8XUCce6ufLF97noBuN4=/380x380/filters:max_bytes(150000):strip_icc():format(webp)/zombie-720x720-primary-29b2a1ab718f42f293bb7b2b6cb107c8.jpg,Long,Shake,Rum,60,Apricot Brandy ,10,Orange_15/Pineapple_15/Lemon_10,40,Sugar,5,-,-,Orange Piece,Mild,Highball,0,0,83,0,67,0
