제품명,단맛,신맛,청량감,바디감,도수%,탄산,주종,용량,가격,제조사,원재료
당당하리,4,2,2,2,15,0,과실주,375ml,15333,농업회사법인(주)세찬제조사,"쌀,홍마늘,감초,개량누룩,효모,정제효소제,정제수,복분자,설탕,올리고당,DL-사과산,구연산,무수아황산,이산화항,밀함유"
대관령복분자주,1,2,1,4,16,0,과실주,400ml,13000,농업회사법인(주)홍지원,국내산복분자
대대포생막걸리,2,1,3,2,6,0,탁주,750ml,3500,농업회사법인(주)죽향도가,"백미,벌꿀,정제수"
대윤가야곡왕주,2,2,1,3,13,0,약주/청주,300ml,4000,농업회사법인대윤가야곡주조(주),"쌀,누룩,효모,물엿,정제수"
대잎생동동주,1,2,3,2,6,0,탁주,1700ml,2500,농업회사법인(주)죽향도가,"쌀,좁쌀,정제효소,젖산,효모,아스파탐,영지,생각,정제수"
대작생막걸리,4,3,3,3,6,0,탁주,750ml,2000,대작영농조합법인,"쌀,조제종국효모,정제효소,올리고당,스테비텐후레쉬,정제수"
대통대잎술,1,1,,2,15,0,약주/청주,700ml,16000,추성고을,"쌀,누룩,갈근,구기자,솔잎,진피등"
도구막걸리,2,2,3,3,6,0,탁주,750ml,1666,동해명주,"밀,쌀,물엿,효모,조제종국,정제효소제,아스파탐,젖산"
도깨비술11,4,4,3,5,11,0,탁주,750ml,12000,농업회사법인(주)도깨비양조장,"멥쌀,누룩,효모,정제수"
도깨비술7,3,3,4,3,7,0,탁주,750ml,8000,농업회사법인(주)도깨비양조장,"멥쌀,누룩,효모,정제수"
도깨비술9,3,3,3,4,9,0,탁주,750ml,10000,농업회사법인(주)도깨비양조장,"멥쌀,누룩,효모,정제수"
도로시머루주,4,4,3,3,12,0,과실주,500ml,25000,산머루농원영농조합법인,"국내산산머루원액,주정"
도문대작생막걸리,1,3,3,2,10,0,탁주,750ml,3000,방풍도가,"강릉쌀,누룩,갯방풍나물,정제수"
